,mfg,sell,demand,fcost,rma
0,71,156.91,1595,49.7,3
1,474,1047.54,6877,331.8,3
2,70,154.7,5182,49.0,3
3,417,921.5699999999999,3914,291.9,3
4,239,528.19,4496,167.3,2
5,427,943.67,1868,298.9,3
6,74,163.54,2694,51.8,1
7,205,453.05,3991,143.5,3
8,121,267.40999999999997,6140,84.7,3
9,201,444.21,6031,140.7,3
10,207,457.46999999999997,5618,144.9,3
11,78,172.38,4594,54.6,3
12,307,678.47,4089,214.9,2
13,147,324.87,4351,102.9,2
14,92,203.32,4807,64.4,3
15,69,152.49,3632,48.3,2
16,95,209.95,5210,66.5,2
17,64,141.44,2945,44.8,1
18,194,428.74,3904,135.8,3
19,403,890.63,2980,282.1,1
20,342,755.8199999999999,2248,239.4,3
21,349,771.29,3510,244.3,2
22,411,908.3100000000001,6964,287.7,3
23,353,780.13,3927,247.10000000000002,2
24,343,758.03,4672,240.10000000000002,3
25,300,663.0,5835,210.0,3
26,374,826.54,4724,261.8,2
27,329,727.0899999999999,2405,230.3,1
28,427,943.67,5693,298.9,1
29,440,972.4,1853,308.0,1
30,143,316.03,5876,100.1,3
31,228,503.88,4022,159.6,3
32,244,539.24,6274,170.8,1
33,430,950.3,4602,301.0,2
34,282,623.22,2623,197.4,1
35,485,1071.85,2837,339.5,2
36,314,693.9399999999999,4689,219.8,3
37,126,278.46,6589,88.2,3
38,380,839.8,2051,266.0,1
39,121,267.40999999999997,3906,84.7,1
40,135,298.35,5304,94.5,2
41,476,1051.96,3094,333.2,1
42,448,990.08,5162,313.6,2
43,355,784.55,2976,248.5,1
44,399,881.79,6846,279.3,1
45,480,1060.8,2490,336.0,1
46,62,137.02,5649,43.4,1
47,397,877.37,6462,277.9,1
48,283,625.4300000000001,5137,198.1,3
49,236,521.56,2842,165.2,2
50,471,1040.91,3413,329.7,2
51,392,866.3199999999999,2580,274.4,1
52,371,819.9100000000001,1716,259.7,1
53,357,788.97,4469,249.9,1
54,470,1038.7,6287,329.0,2
55,332,733.72,5735,232.4,3
56,89,196.69,2125,62.3,2
57,345,762.45,3213,241.5,1
58,269,594.49,2280,188.3,1
59,350,773.5,3763,245.0,2
60,375,828.75,2980,262.5,3
61,390,861.9,6531,273.0,2
62,58,128.18,1658,40.6,3
63,84,185.64000000000001,1655,58.8,1
64,182,402.21999999999997,6798,127.4,3
65,489,1080.69,6638,342.3,2
66,218,481.78000000000003,1634,152.6,2
67,349,771.29,2691,244.3,3
68,208,459.68,3868,145.6,3
69,51,112.71000000000001,4853,35.7,3
70,360,795.6,4024,252.0,1
71,69,152.49,6643,48.3,1
72,235,519.35,2790,164.5,1
73,486,1074.06,2788,340.2,1
74,409,903.8899999999999,1816,286.3,2
75,490,1082.9,1534,343.0,2
76,312,689.52,1880,218.4,2
77,390,861.9,5872,273.0,3
78,203,448.63,3960,142.1,3
79,487,1076.27,2083,340.9,1
80,87,192.27,2061,60.900000000000006,2
81,51,112.71000000000001,5676,35.7,3
82,248,548.08,3481,173.6,3
83,261,576.81,1914,182.7,3
84,310,685.1,5704,217.0,3
85,158,349.18,2298,110.6,1
86,176,388.96,4409,123.2,1
87,62,137.02,3027,43.4,3
88,166,366.86,3244,116.2,2
89,304,671.8399999999999,2632,212.8,1
90,427,943.67,1687,298.9,1
91,90,198.9,5210,63.0,1
92,436,963.5600000000001,1895,305.2,3
93,414,914.9399999999999,4805,289.8,2
94,141,311.61,5627,98.7,2
95,436,963.5600000000001,5767,305.2,1
96,396,875.1600000000001,4663,277.2,2
97,202,446.41999999999996,2723,141.4,3
98,425,939.25,2391,297.5,1
